CBZ39493.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]	0c68fc01f10873580e915d669c5d7a8f
AGC54622.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]	b6e795432152344d342298f8db38a378
ALD19783.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]	ff01e0a970521ce0816258b14ddf79be
ALQ87875.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]	0ae554a9f5a08473445f7228b6b6a6eb
OAI32049.1 subclass B1 metallo-beta-lactamase NDM-1 [Escherichia coli]	ce593ebe23ee4ee293c9eb7b6bd3c5e5
ANF80532.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Salmonella enterica]	afc6f0c2dba3ab4c408c500359390448
OES48450.1 subclass B1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]	029c3f4492a3a0dd7cc19174317dc068
PIL86686.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]	b575c37d19d2560eaf6190903cb2442b
BBE58699.1 Subclass B1 beta-lactamase, NDM-1 (plasmid) [Klebsiella pneumoniae]	5cbcbe97902a27ab009733f7d549c91f
QIM11779.1 Metallo Beta Lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]	758dda31dc209eafc4360893cd94155c
AEA41876.1 NDM-2 metallo-beta-lactamase [Acinetobacter baumannii]	20c9b9285275502abc61f1d33a3ecce7
AFK80349.1 NDM-3 metallo-beta-lactamase (plasmid) [Escherichia coli]	2268825a24904b23605ce8c66be3f734
AMO51457.1 beta-lactamase NDM-3 [Acinetobacter baumannii]	294c92cd9a9038358eeb48c87b1e8d45
AFB82585.1 metallo-beta-lactamase NDM-4 [Escherichia coli]	6f47cf1a53fd27dec39fb4eb1be7a7c8
AXH80118.1 New Delhi metallo-beta-lactamase NDM-5 [Escherichia coli]	19654ee59cd498dc4dcf7cabdcb5f236
AYU88714.1 NDM-5 metallo-beta-lactamase (plasmid) [Escherichia coli]	2853e27cf2732653807c31c86ba59f4c
AYU88743.1 subclass B1 metallo-beta-lactamase NDM-5 (plasmid) [Klebsiella pneumoniae]	b8dcf516bc8035076c081afa4fdc23f7
AGS56768.1 NDM-6 metallo-beta-lactamase (plasmid) [Escherichia coli]	68929549cf25ae74d93962d7fa953154
BAM84089.1 NDM-8 metallo-beta-lactamase (plasmid) [Escherichia coli]	4945dba4ff46d0e41e753c67cfa371c7
AGT37351.1 metallo-beta-lactamase NDM-10 [Klebsiella pneumoniae subsp. pneumoniae]	0457fe79116db8ce931b7749e0649786
AJE61443.1 metallo-beta-lactamase NDM-11 [Escherichia coli]	41a456905cba77fc0c7cf14165a4b126
BAO79439.1 metallo-beta-lactamase NDM-12 (plasmid) [Escherichia coli]	65ef1dc819c59a00075252610d2133a8
BAQ02518.1 metallo-beta-lactamase NDM-13 (plasmid) [Escherichia coli]	76f1ad68d27b578766ef80e76f2302c1
WP_063860857.1 MULTISPECIES: subclass B1 metallo-beta-lactamase NDM-14 [Gammaproteobacteria]	75b30551822eca75a182e01695dd5080
WP_063860858.1 subclass B1 metallo-beta-lactamase NDM-15 [Escherichia coli]	e1c45fa8d2c11bea0c8932d01e770b17
AOT73359.1 subclass B1 metallo-beta-lactamase NDM-17 [Escherichia coli]	468f129b4a4f82738a94a93a38d3d107
AVN57295.1 NDM-17 (plasmid) [Escherichia coli]	50c3cd81cad3715cac85afa181d375f5
APZ75411.1 subclass B1 metallo-beta-lactamase NDM-18 [Escherichia coli]	4bb600c15f579b291cf31068ce72df8e
ASC49561.1 subclass B1 metallo-beta-lactamase NDM-19 [Escherichia coli]	aefa60fda3196e3932d599088f13032e
tr|A0A0K1Z5K4|A0A0K1Z5K4_KLEPN beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=blaNDM-16 PE=3 SV=1	edfa46c0987446899758713e4662b1a2
