>CBZ39493.1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]	299
>ALD19783.1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]	299
>AFB82585.1 metallo-beta-lactamase NDM-4 [Escherichia coli]	299
>AJE61443.1 metallo-beta-lactamase NDM-11 [Escherichia coli]	299
>OAI32049.1 subclass B1 metallo-beta-lactamase NDM-1 [Escherichia coli]	299
>AYU88743.1 subclass B1 metallo-beta-lactamase NDM-5 (plasmid) [Klebsiella pneumoniae]	299
>AOT73359.1 subclass B1 metallo-beta-lactamase NDM-17 [Escherichia coli]	299
>AGS56768.1 NDM-6 metallo-beta-lactamase (plasmid) [Escherichia coli]	299
>WP_063860858.1 subclass B1 metallo-beta-lactamase NDM-15 [Escherichia coli]	299
>ALQ87875.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]	299
>ASC49561.1 subclass B1 metallo-beta-lactamase NDM-19 [Escherichia coli]	299
>ANF80532.1 subclass B1 metallo-beta-lactamase NDM-1 (plasmid) [Salmonella enterica]	299
>AFK80349.1 NDM-3 metallo-beta-lactamase (plasmid) [Escherichia coli]	299
>BAQ02518.1 metallo-beta-lactamase NDM-13 (plasmid) [Escherichia coli]	299
>QIM11779.1 Metallo Beta Lactamase NDM-1 (plasmid) [Klebsiella pneumoniae]	299
>AEA41876.1 NDM-2 metallo-beta-lactamase [Acinetobacter baumannii]	299
>BAM84089.1 NDM-8 metallo-beta-lactamase (plasmid) [Escherichia coli]	299
>WP_063860857.1 MULTISPECIES: subclass B1 metallo-beta-lactamase NDM-14 [Gammaproteobacteria]	299
>AXH80118.1 New Delhi metallo-beta-lactamase NDM-5 [Escherichia coli]	299
>tr|A0A0K1Z5K4|A0A0K1Z5K4_KLEPN beta-lactamase OS=Klebsiella pneumoniae OX=573 GN=blaNDM-16 PE=3 SV=1	299
>BAO79439.1 metallo-beta-lactamase NDM-12 (plasmid) [Escherichia coli]	299
>AVN57295.1 NDM-17 (plasmid) [Escherichia coli]	299
>AGC54622.1 metallobetalactamase NDM-1 [Klebsiella pneumoniae]	299
>APZ75411.1 subclass B1 metallo-beta-lactamase NDM-18 [Escherichia coli]	299
>AMO51457.1 beta-lactamase NDM-3 [Acinetobacter baumannii]	299
>AYU88714.1 NDM-5 metallo-beta-lactamase (plasmid) [Escherichia coli]	299
>AGT37351.1 metallo-beta-lactamase NDM-10 [Klebsiella pneumoniae subsp. pneumoniae]	299
>PIL86686.1 subclass B1 metallo-beta-lactamase NDM-1 [Acinetobacter baumannii]	299
>BBE58699.1 Subclass B1 beta-lactamase, NDM-1 (plasmid) [Klebsiella pneumoniae]	299
>OES48450.1 subclass B1 metallo-beta-lactamase NDM-1 [Pseudomonas aeruginosa]	299
