1	28	18.67
2	0	0.00
3	0	0.00
4	0	0.00
5	0	0.00
6	0	0.00
7	1	0.67
8	1	0.67
9	1	0.67
10	1	0.67
11	0	0.00
12	0	0.00
13	0	0.00
14	0	0.00
15	0	0.00
16	0	0.00
17	29	19.33
18	0	0.00
19	0	0.00
20	0	0.00
21	29	19.33
22	29	19.33
23	29	19.33
24	29	19.33
25	29	19.33
26	29	19.33
27	29	19.33
28	29	19.33
29	29	19.33
30	29	19.33
31	29	19.33
32	29	19.33
33	29	19.33
34	29	19.33
35	29	19.33
36	29	19.33
37	29	19.33
38	29	19.33
39	29	19.33
40	29	19.33
41	29	19.33
42	0	0.00
43	29	19.33
44	29	19.33
45	29	19.33
46	29	19.33
47	29	19.33
48	0	0.00
49	0	0.00
50	1	0.67
51	1	0.67
52	29	19.33
53	1	0.67
54	0	0.00
55	1	0.67
56	1	0.67
57	1	0.67
58	1	0.67
59	1	0.67
60	0	0.00
